file,energy,count_time,rotation,mean,std,min,max,x_min,x_max,y_min,y_max
Sample_Image_2015-11-28_031.hdf5,779.5,0.005,36.783,92390.65084444445,13025.786191562973,73683.0,113775.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_032.hdf5,779.5,0.005,36.783,91542.3448888889,13462.89755451488,73084.0,113068.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_033.hdf5,779.5,0.005,36.783,92341.87555555555,13000.707712092797,73962.0,113584.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_034.hdf5,779.5,0.005,36.783,91461.09475555556,13503.626849916172,73140.0,113295.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_035.hdf5,779.5,0.005,36.783,92436.66222222222,12993.84960023932,74190.0,114022.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_036.hdf5,779.5,0.005,36.783,91481.33777777778,13542.000467682246,72952.0,113913.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_037.hdf5,779.5,0.005,36.783,92497.3368888889,12979.971068761428,74474.0,113840.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_038.hdf5,779.5,0.005,36.783,91569.50542222222,13572.293480037988,73171.0,113940.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_039.hdf5,779.5,0.005,36.783,92450.44515555556,12974.198631775678,74536.0,114435.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_040.hdf5,779.5,0.005,36.783,91462.57617777778,13541.579779112317,73037.0,114306.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_041.hdf5,779.5,0.005,36.783,92452.57475555556,12991.451659055163,74562.0,114425.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_042.hdf5,779.5,0.005,36.783,91341.33102222222,13484.01603690425,73117.0,113862.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_043.hdf5,779.5,0.005,36.783,92280.2688,12971.56822851903,74583.0,114469.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_044.hdf5,779.5,0.005,36.783,91265.71342222222,13498.143223250534,73024.0,114027.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_045.hdf5,779.5,0.005,36.783,92131.79591111111,12932.595254140384,74259.0,114398.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_046.hdf5,779.5,0.005,36.783,91333.7552,13542.590198451111,73039.0,114576.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_047.hdf5,779.5,0.005,36.783,92154.70844444445,12948.459079259665,74756.0,114716.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_048.hdf5,779.5,0.005,36.783,91263.64373333333,13612.097258946897,57697.0,114338.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_049.hdf5,779.5,0.005,36.783,92091.81493333333,12976.288580448712,74367.0,115181.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_050.hdf5,779.5,0.005,36.783,91121.36906666667,13595.065145512292,72960.0,114855.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_051.hdf5,779.5,0.005,36.783,91974.67555555556,13034.573359001062,74476.0,115143.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_052.hdf5,779.5,0.005,36.783,91160.59822222222,13640.210484749256,72887.0,114810.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_053.hdf5,779.5,0.005,36.783,91857.42435555556,13060.1311174229,74400.0,115257.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_054.hdf5,779.5,0.005,36.783,91076.016,13642.061287953422,72830.0,114632.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_055.hdf5,779.5,0.005,36.783,91774.90364444445,13119.870185738375,74130.0,115682.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_056.hdf5,779.5,0.005,36.783,91108.51111111112,13726.69058947927,72926.0,115177.0,240.37382993322808,241.85382993322807,-1122.207478247343,-1120.727478247343
Sample_Image_2015-11-28_069.hdf5,779.5,0.005,36.783,96786.96,15602.361186937202,75598.0,119540.0,236.32399999999998,237.80399999999997,-1124.207,-1122.727
Sample_Image_2015-11-28_070.hdf5,779.5,0.005,36.783,98345.25368888889,14941.392464949242,78421.0,120403.0,236.32399999999998,237.80399999999997,-1124.207,-1122.727
